AP1,AP2,AP3,AP4,X,Y
-81,-84,-71,-52,5.9,5.85
-83,-84,-68,-54,6.1,5.85
-80,-83,-64,-54,6.3,5.85
-84,-78,-66,-62,6.5,5.85
-85,-85,-64,-55,6.7,5.85
-83,-83,-63,-55,6.9,5.85
-83,-83,-63,-52,7.1,5.85
-85,-77,-59,-64,7.3,5.85
-78,-80,-56,-63,7.5,5.85
-83,-72,-53,-63,7.7,5.85
-76,-83,-51,-62,7.9,5.85
-78,-74,-54,-64,8.1,5.85
-83,-74,-56,-65,8.3,5.85
-83,-75,-47,-63,8.5,5.85
-82,-81,-47,-63,8.7,5.85
-82,-80,-52,-70,8.9,5.85
-84,-71,-50,-69,9.1,5.85
-83,-72,-63,-67,9.3,5.85
-83,-71,-58,-72,9.5,5.85
-83,-80,-58,-63,4.1,6.35
-79,-82,-65,-65,4.3,6.35
-81,-77,-62,-72,4.5,6.35
-81,-78,-51,-62,4.7,6.35
-84,-84,-68,-64,4.9,6.35
-83,-84,-60,-56,5.1,6.35
-80,-81,-59,-61,5.3,6.35
-83,-83,-63,-56,5.5,6.35
-81,-85,-57,-58,5.7,6.35
-81,-85,-65,-58,5.9,6.35
-80,-80,-63,-74,6.1,6.35
-80,-84,-60,-52,6.3,6.35
-78,-84,-70,-56,6.5,6.35
-84,-82,-64,-51,6.7,6.35
-82,-84,-58,-54,6.9,6.35
-79,-83,-64,-55,7.1,6.35
-78,-78,-57,-66,7.3,6.35
-84,-70,-57,-66,7.5,6.35
-84,-81,-52,-65,7.7,6.35
-84,-70,-53,-60,7.9,6.35
-84,-70,-57,-63,8.1,6.35
-82,-78,-51,-66,8.3,6.35
-84,-79,-51,-64,8.5,6.35
-84,-72,-52,-67,8.7,6.35
-86,-74,-50,-64,8.9,6.35
-86,-72,-53,-64,9.1,6.35
-81,-78,-56,-64,9.3,6.35
-88,-73,-58,-64,9.5,6.35
-77,-78,-75,-64,4.1,6.85
-83,-82,-60,-66,4.3,6.85
-78,-82,-70,-65,4.5,6.85
-80,-84,-64,-63,4.7,6.85
-77,-84,-61,-55,4.9,6.85
-80,-86,-62,-57,5.1,6.85
-81,-84,-64,-60,5.3,6.85
-83,-82,-60,-73,5.5,6.85
-81,-80,-58,-63,5.7,6.85
-82,-80,-65,-69,5.9,6.85
-84,-80,-58,-63,6.1,6.85
-82,-88,-60,-58,6.3,6.85
-83,-85,-65,-55,6.5,6.85
-84,-84,-65,-53,6.7,6.85
-84,-82,-60,-52,6.9,6.85
-85,-80,-57,-58,7.1,6.85
-88,-77,-60,-66,7.3,6.85
-84,-72,-53,-62,7.5,6.85
-84,-74,-52,-63,7.7,6.85
-80,-77,-51,-65,7.9,6.85
-84,-84,-51,-72,8.1,6.85
-82,-82,-57,-65,8.3,6.85
